#x[px], y[px], z[px], A
3.555718e+02, 3.979615e+02, 3.405290e+01, 7.479035e+03 
2.446677e+02, 3.340872e+02, 3.597083e+01, 8.077909e+03 
2.565872e+02, 3.774125e+02, 3.712299e+01, 7.293560e+03 
2.676527e+02, 4.056814e+02, 3.777313e+01, 1.267889e+04 
3.312911e+02, 3.276479e+02, 3.789696e+01, 7.199028e+03 
3.900177e+02, 3.805687e+02, 3.734073e+01, 8.368918e+03 
2.213327e+02, 3.548916e+02, 3.841227e+01, 8.796443e+03 
2.445167e+02, 3.323704e+02, 3.818284e+01, 7.248498e+03 
2.533784e+02, 3.311919e+02, 3.814654e+01, 7.792023e+03 
2.771831e+02, 3.613019e+02, 3.879436e+01, 7.783495e+03 
2.993301e+02, 3.852292e+02, 3.799898e+01, 1.009866e+04 
2.078413e+02, 3.693352e+02, 4.112260e+01, 8.763829e+03 
2.294867e+02, 3.552457e+02, 3.961629e+01, 1.501174e+04 
2.480421e+02, 4.583140e+02, 4.114833e+01, 7.235249e+03 
2.715355e+02, 3.757556e+02, 3.944825e+01, 1.050604e+04 
2.829221e+02, 4.054440e+02, 3.923123e+01, 2.569962e+04 
2.842674e+02, 4.010985e+02, 3.911403e+01, 2.496001e+04 
2.877168e+02, 4.098829e+02, 3.875330e+01, 1.209009e+04 
3.145583e+02, 3.392750e+02, 4.112579e+01, 7.899106e+03 
3.290977e+02, 3.594167e+02, 3.915604e+01, 1.210559e+04 
1.839793e+02, 4.089736e+02, 4.110953e+01, 8.441966e+03 
2.479755e+02, 3.356024e+02, 4.047156e+01, 1.112861e+04 
2.493969e+02, 3.644126e+02, 3.982678e+01, 1.899537e+04 
2.503430e+02, 3.853742e+02, 4.019421e+01, 1.537175e+04 
2.524639e+02, 3.774611e+02, 3.959404e+01, 7.090740e+03 
2.568985e+02, 3.692079e+02, 3.961806e+01, 1.529653e+04 
2.613195e+02, 3.830035e+02, 3.962955e+01, 1.354801e+04 
2.628124e+02, 4.549039e+02, 4.002311e+01, 1.044155e+04 
2.761088e+02, 3.694253e+02, 4.059837e+01, 8.279989e+03 
2.895083e+02, 3.824063e+02, 4.008967e+01, 1.091947e+04 
2.947729e+02, 4.079442e+02, 4.001054e+01, 1.637248e+04 
3.287012e+02, 3.337903e+02, 4.158458e+01, 8.887927e+03 
3.305036e+02, 3.529235e+02, 4.016495e+01, 7.693088e+03 
3.356977e+02, 3.135323e+02, 4.114843e+01, 1.040403e+04 
3.472253e+02, 3.024465e+02, 3.976873e+01, 8.399486e+03 
3.680647e+02, 3.664303e+02, 3.949908e+01, 1.015117e+04 
1.829862e+02, 3.762031e+02, 4.307939e+01, 7.767777e+03 
2.262718e+02, 3.624460e+02, 4.107005e+01, 2.345991e+04 
2.278729e+02, 2.718847e+02, 4.165464e+01, 1.421701e+04 
2.334190e+02, 3.353155e+02, 4.152888e+01, 9.730355e+03 
2.698273e+02, 3.553053e+02, 4.121454e+01, 1.456119e+04 
2.872227e+02, 3.659039e+02, 4.242688e+01, 8.417041e+03 
2.881054e+02, 4.426252e+02, 4.143677e+01, 1.276695e+04 
3.415226e+02, 3.439382e+02, 4.044605e+01, 1.667421e+04 
3.425246e+02, 3.578008e+02, 4.081593e+01, 7.031931e+03 
3.492326e+02, 3.434613e+02, 4.062663e+01, 8.184231e+03 
3.673624e+02, 2.662904e+02, 4.352345e+01, 9.068767e+03 
3.937137e+02, 3.802342e+02, 4.106939e+01, 8.454127e+03 
2.227333e+02, 2.976681e+02, 4.262461e+01, 1.202063e+04 
2.269288e+02, 2.819518e+02, 4.388012e+01, 9.507410e+03 
2.503068e+02, 4.601020e+02, 4.221836e+01, 8.830189e+03 
2.627803e+02, 3.674701e+02, 4.163597e+01, 1.212720e+04 
2.653523e+02, 4.777207e+02, 4.245436e+01, 3.122283e+04 
2.687870e+02, 2.565182e+02, 4.392060e+01, 7.778279e+03 
2.988250e+02, 2.324976e+02, 4.327622e+01, 9.363754e+03 
3.014604e+02, 4.570883e+02, 4.419667e+01, 1.260640e+04 
3.025985e+02, 3.615685e+02, 4.131436e+01, 9.402921e+03 
3.123385e+02, 4.794311e+02, 4.204190e+01, 1.425443e+04 
3.483129e+02, 2.889937e+02, 4.248052e+01, 8.021621e+03 
3.509749e+02, 3.773743e+02, 4.108675e+01, 1.072425e+04 
3.638628e+02, 2.488829e+02, 4.282704e+01, 7.239997e+03 
1.129660e+02, 3.327736e+02, 4.466222e+01, 9.100176e+03 
1.169348e+02, 3.482976e+02, 4.432749e+01, 7.231199e+03 
1.821443e+02, 4.194801e+02, 4.376695e+01, 7.653364e+03 
2.076479e+02, 3.654444e+02, 4.385146e+01, 1.467046e+04 
2.087035e+02, 3.701148e+02, 4.373711e+01, 8.749827e+03 
2.138944e+02, 3.744485e+02, 4.229578e+01, 8.448190e+03 
2.291779e+02, 3.343665e+02, 4.207030e+01, 1.228487e+04 
2.375318e+02, 4.661229e+02, 4.266987e+01, 7.338150e+03 
2.434578e+02, 2.610265e+02, 4.372546e+01, 9.515826e+03 
2.500995e+02, 2.585549e+02, 4.370225e+01, 1.482437e+04 
2.586699e+02, 3.623236e+02, 4.308004e+01, 2.051934e+04 
2.775469e+02, 4.817235e+02, 4.281601e+01, 1.879968e+04 
2.812177e+02, 4.657007e+02, 4.338891e+01, 7.892565e+03 
2.903538e+02, 3.701568e+02, 4.320016e+01, 4.151200e+04 
2.904369e+02, 4.638616e+02, 4.325143e+01, 1.030129e+04 
2.916136e+02, 4.687173e+02, 4.324207e+01, 9.694140e+03 
2.953154e+02, 4.148331e+02, 4.251931e+01, 1.307845e+04 
2.964963e+02, 3.555089e+02, 4.317545e+01, 8.290260e+03 
2.960658e+02, 4.072772e+02, 4.174981e+01, 1.680219e+04 
3.049720e+02, 4.565228e+02, 4.305258e+01, 1.363847e+04 
3.296121e+02, 3.334077e+02, 4.284660e+01, 8.080177e+03 
3.363114e+02, 3.353357e+02, 4.255894e+01, 7.028250e+03 
3.512671e+02, 3.534941e+02, 4.315227e+01, 1.700608e+04 
3.524997e+02, 2.783185e+02, 4.284692e+01, 7.468540e+03 
3.589636e+02, 3.606829e+02, 4.252212e+01, 8.437465e+03 
3.898267e+02, 3.644096e+02, 4.311573e+01, 9.360270e+03 
4.693087e+02, 3.786947e+02, 4.275621e+01, 7.096081e+03 
2.226814e+02, 2.624545e+02, 4.557179e+01, 1.162158e+04 
2.440101e+02, 4.678104e+02, 4.473208e+01, 7.186478e+03 
2.521616e+02, 4.704006e+02, 4.406928e+01, 2.030022e+04 
2.622510e+02, 3.607431e+02, 4.557606e+01, 1.005480e+04 
2.687538e+02, 4.817512e+02, 4.389851e+01, 7.299677e+03 
2.703354e+02, 4.758100e+02, 4.530130e+01, 1.228640e+04 
3.038037e+02, 4.669696e+02, 4.432144e+01, 1.548764e+04 
3.075930e+02, 4.541582e+02, 4.433839e+01, 1.401078e+04 
3.139262e+02, 3.505084e+02, 4.422599e+01, 7.942070e+03 
3.335857e+02, 4.541743e+02, 4.418561e+01, 7.376013e+03 
3.348277e+02, 2.741819e+02, 4.415895e+01, 1.578259e+04 
3.690719e+02, 2.664617e+02, 4.424375e+01, 8.001631e+03 
4.196124e+02, 2.824754e+02, 4.471877e+01, 7.224589e+03 
2.099653e+02, 2.736890e+02, 4.640919e+01, 1.025936e+04 
2.231891e+02, 3.260008e+02, 4.526319e+01, 7.230459e+03 
2.268545e+02, 2.815225e+02, 4.596335e+01, 8.356111e+03 
2.311217e+02, 3.622676e+02, 4.402102e+01, 8.010297e+03 
2.393203e+02, 3.448817e+02, 4.469265e+01, 2.603855e+04 
2.429677e+02, 3.526496e+02, 4.567988e+01, 1.866641e+04 
2.451781e+02, 2.711518e+02, 4.557075e+01, 1.035043e+04 
2.593702e+02, 4.854051e+02, 4.517535e+01, 7.919990e+03 
2.619938e+02, 4.906581e+02, 4.491834e+01, 7.436260e+03 
2.703097e+02, 3.676207e+02, 4.478227e+01, 7.650547e+03 
2.809733e+02, 2.401147e+02, 4.489817e+01, 9.146508e+03 
2.823678e+02, 3.672088e+02, 4.460787e+01, 9.471327e+03 
2.898933e+02, 3.682916e+02, 4.402243e+01, 3.847079e+04 
2.907082e+02, 4.482270e+02, 4.516313e+01, 2.295801e+04 
2.959075e+02, 5.030147e+02, 4.519564e+01, 7.760065e+03 
2.975617e+02, 4.606172e+02, 4.445161e+01, 2.026687e+04 
2.988779e+02, 4.841632e+02, 4.559314e+01, 1.660602e+04 
3.047375e+02, 5.000866e+02, 4.480271e+01, 9.502305e+03 
3.069122e+02, 3.531131e+02, 4.478040e+01, 3.355133e+04 
3.128800e+02, 2.197624e+02, 4.682858e+01, 9.810370e+03 
3.109758e+02, 4.578223e+02, 4.544921e+01, 9.376596e+03 
3.148227e+02, 4.415546e+02, 4.497612e+01, 1.022906e+04 
3.164553e+02, 3.363198e+02, 4.631470e+01, 1.646991e+04 
3.283534e+02, 3.210020e+02, 4.526275e+01, 1.149745e+04 
3.307139e+02, 3.823952e+02, 4.417513e+01, 9.573826e+03 
3.311205e+02, 3.203296e+02, 4.558889e+01, 8.843339e+03 
3.360763e+02, 4.716951e+02, 4.463663e+01, 7.920578e+03 
3.712039e+02, 3.848817e+02, 4.441869e+01, 9.736207e+03 
3.854704e+02, 3.711779e+02, 4.441276e+01, 8.403370e+03 
2.010193e+02, 4.300809e+02, 4.610609e+01, 7.931727e+03 
2.190527e+02, 3.664264e+02, 4.650283e+01, 9.746629e+03 
2.279635e+02, 2.671258e+02, 4.636092e+01, 1.125633e+04 
2.672315e+02, 4.664422e+02, 4.701461e+01, 1.070730e+04 
2.681178e+02, 4.828026e+02, 4.409217e+01, 8.973269e+03 
2.730456e+02, 2.635493e+02, 4.613274e+01, 1.352471e+04 
2.842284e+02, 3.538799e+02, 4.591779e+01, 8.529856e+03 
2.920931e+02, 2.336045e+02, 4.620514e+01, 7.414859e+03 
2.972845e+02, 4.469368e+02, 4.608173e+01, 1.026283e+04 
3.041984e+02, 3.845669e+02, 4.637575e+01, 7.471858e+03 
3.200911e+02, 2.402384e+02, 4.641889e+01, 8.098115e+03 
3.200159e+02, 3.428867e+02, 4.622001e+01, 7.934293e+03 
3.261723e+02, 5.210927e+02, 4.545971e+01, 9.731057e+03 
3.586929e+02, 3.095996e+02, 4.633444e+01, 9.185014e+03 
3.641972e+02, 3.891229e+02, 4.588610e+01, 1.722898e+04 
3.672012e+02, 2.650138e+02, 4.644897e+01, 1.469926e+04 
