#x[px], y[px], z[px], A
8.011652e+01, 7.548569e+01, 2.876509e+00, 1.421817e+04 
8.061100e+01, 6.296040e+01, 7.513696e+00, 1.877869e+04 
8.202016e+01, 7.846879e+01, 7.832229e+00, -5.746560e+02 
5.652729e+01, 2.998045e+01, 1.864634e+01, 3.741034e+03 
6.200929e+01, 2.673364e+01, 1.856807e+01, 9.482317e+03 
7.712218e+01, 6.747047e+01, 1.790350e+01, 4.862776e+04 
5.533624e+01, 2.975159e+01, 2.080582e+01, 1.105643e+04 
7.922648e+01, 4.447276e+01, 2.138859e+01, 2.339949e+04 
8.027440e+01, 5.619982e+01, 2.648019e+01, 2.497828e+04 
7.335875e+01, 8.362587e+01, 3.016493e+01, 2.624339e+04 
7.811917e+01, 2.769235e+01, 2.905866e+01, 1.140294e+04 
7.347564e+01, 9.246974e+01, 3.018450e+01, 2.896152e+04 
5.827491e+01, 6.841229e+01, 3.081248e+01, 7.192910e+03 
6.608382e+01, 8.138893e+01, 3.489007e+01, -6.551099e+00 
4.825612e+01, 9.871352e+00, 3.499469e+01, 6.679062e+03 
2.345377e+01, 1.351784e+01, 3.755520e+01, 3.470387e+02 
6.640928e+01, 7.747506e+01, 3.734752e+01, -1.021791e+02 
8.527680e+01, 1.708882e+01, 3.781332e+01, 9.411470e+03 
3.182735e+01, 1.502741e+01, 4.211155e+01, 1.140430e+03 
6.063257e+01, 9.325188e+01, 4.339889e+01, 2.516412e+04 
6.425410e+01, 7.926307e+01, 4.234681e+01, -3.079000e+02 
7.790413e+01, 3.599065e+01, 4.355561e+01, 2.404648e+04 
2.735408e+01, 5.404742e+00, 4.338354e+01, 1.170671e+04 
8.285234e+01, 6.384319e+01, 4.388315e+01, 1.891094e+04 
5.136093e+01, 2.987269e+01, 4.561000e+01, -2.653825e+01 
5.080014e+01, 2.338009e+01, 4.634400e+01, -2.336669e+03 
7.924342e+01, 2.325817e+01, 4.740961e+01, 2.236635e+04 
5.064148e+01, 9.273725e+01, 4.756749e+01, 1.478478e+04 
8.102717e+01, 6.632730e+01, 4.767968e+01, 2.368194e+04 
1.356649e+01, 8.485352e+00, 4.900157e+01, 1.127832e+04 
8.050187e+01, 1.812972e+01, 4.907510e+01, 2.028027e+04 
1.093872e+01, 3.687592e+01, 5.156361e+01, 2.520503e+03 
7.976081e+01, 2.339508e+01, 4.939885e+01, 2.529279e+04 
4.574588e+01, 8.953829e+01, 5.199880e+01, 1.050678e+04 
1.914470e+01, 5.332497e+01, 5.193848e+01, 6.326778e+03 
7.816362e+01, 8.530503e+00, 5.316945e+01, 1.637108e+04 
2.216927e+01, 1.890900e+01, 5.501884e+01, 1.715810e+04 
3.072417e+01, 9.312052e+01, 5.518725e+01, 2.631116e+04 
2.800949e+01, 1.134627e+01, 5.711627e+01, 2.250080e+04 
4.730870e+01, 9.861559e+01, 5.732346e+01, 1.638010e+04 
4.343927e+01, 4.466717e+00, 5.787837e+01, 2.912086e+04 
5.201978e+01, 2.718433e+00, 5.801535e+01, 2.651308e+04 
1.355334e+01, 3.512253e+01, 5.858547e+01, 2.674499e+04 
6.859510e+01, 6.117159e+01, 5.920120e+01, 1.361437e+04 
6.851764e+00, 2.975611e+01, 5.933994e+01, 1.938309e+04 
1.933341e+01, 7.398273e+01, 6.035285e+01, 2.145980e+04 
5.427839e+01, 2.785970e+01, 6.047539e+01, 1.211825e+04 
5.436540e+00, 6.729750e+01, 6.125685e+01, 7.112589e+04 
1.430525e+01, 4.883725e+01, 6.195897e+01, 1.140891e+04 
7.696944e+01, 3.340733e+01, 6.253834e+01, 1.834237e+04 
8.145365e+00, 1.974978e+01, 6.351836e+01, 5.144863e+03 
3.752221e+01, 3.092876e+01, 6.364484e+01, 1.845587e+04 
