trackId,tracklength,frameId,particleId,x,y,z,A,noIdea1,noIdea2,noIdea3,noIdea4
1, 66, 1, 14, 7.904661e+01, 6.464731e+01, 1.968702e+01, 2.380362e+04, 4.832092e-02, 4.835750e-02, 4.834893e-02, 7.336996e+02 
1, 66, 2, 0, 7.850739e+01, 6.542015e+01, 1.970824e+01, 2.104784e+04, 5.191853e-02, 5.189188e-02, 5.185913e-02, 6.948010e+02 
1, 66, 3, 17, 7.839408e+01, 6.518394e+01, 1.983334e+01, 2.085433e+04, 6.200657e-02, 6.184807e-02, 6.184588e-02, 8.215721e+02 
1, 66, 4, 0, 7.802180e+01, 6.560145e+01, 1.931772e+01, 2.318226e+04, 5.887678e-02, 5.893617e-02, 5.891262e-02, 8.704702e+02 
1, 66, 5, 17, 7.721728e+01, 6.629176e+01, 1.963966e+01, 2.259943e+04, 5.329875e-02, 5.331132e-02, 5.332720e-02, 7.679828e+02 
1, 66, 6, 0, 7.779343e+01, 6.591954e+01, 1.962601e+01, 2.499614e+04, 5.285233e-02, 5.284127e-02, 5.288568e-02, 8.426791e+02 
1, 66, 7, 14, 7.733113e+01, 6.593743e+01, 1.956872e+01, 4.008776e+04, 4.343338e-02, 4.340528e-02, 4.345692e-02, 1.109434e+03 
1, 66, 8, 0, 7.750617e+01, 6.631077e+01, 1.910696e+01, 3.781167e+04, 4.658285e-02, 4.652781e-02, 4.650369e-02, 1.120663e+03 
1, 66, 9, 12, 7.729240e+01, 6.654524e+01, 1.984905e+01, 4.784633e+04, 4.370735e-02, 4.374489e-02, 4.369065e-02, 1.332598e+03 
1, 66, 10, 0, 7.831880e+01, 6.626546e+01, 1.990090e+01, 3.905074e+04, 4.921255e-02, 4.920268e-02, 4.918494e-02, 1.225432e+03 
1, 66, 11, 12, 7.828087e+01, 6.638692e+01, 2.026356e+01, 3.712427e+04, 5.465778e-02, 5.468385e-02, 5.465453e-02, 1.293222e+03 
1, 66, 12, 0, 7.887831e+01, 6.650900e+01, 1.989675e+01, 3.420099e+04, 4.937701e-02, 4.946133e-02, 4.937585e-02, 1.076736e+03 
1, 66, 13, 12, 7.960625e+01, 6.655183e+01, 1.985579e+01, 2.610213e+04, 6.639340e-02, 6.647275e-02, 6.633596e-02, 1.102729e+03 
1, 66, 14, 0, 7.809444e+01, 6.668117e+01, 1.937736e+01, 2.882913e+04, 4.742460e-02, 4.745147e-02, 4.746465e-02, 8.719441e+02 
1, 66, 15, 9, 7.734465e+01, 6.673970e+01, 1.907989e+01, 2.440634e+04, 5.494034e-02, 5.492209e-02, 5.490216e-02, 8.548706e+02 
1, 66, 16, 0, 7.664435e+01, 6.708993e+01, 1.853882e+01, 1.722733e+04, 5.861425e-02, 5.857102e-02, 5.865130e-02, 6.431579e+02 
1, 66, 17, 12, 7.650256e+01, 6.701630e+01, 1.924166e+01, 1.520840e+04, 6.276629e-02, 6.265758e-02, 6.267882e-02, 6.075406e+02 
1, 66, 18, 0, 7.658269e+01, 6.770136e+01, 1.880699e+01, 2.261871e+04, 5.644363e-02, 5.641045e-02, 5.639233e-02, 8.131168e+02 
