trackId,tracklength,time[s],frameId,lifetime,catIdx, m_x,m_y,m_z,m_A,m_c,m_pValue, s_x,s_y,s_z,s_A,s_c,s_pValue
1, 69, 0, 1, 3.925410e+02, 3, 6.385073e+01, 2.045410e+01, 8.227888e+01, 2.217106e+04, 8.002850e+03, 0,  6.658439e+01, 2.288070e+01, 8.227888e+01, 1.875102e+04, 1.212048e+04, 1.571413e-314
1, 69, 5.689000e+00, 2, 3.925410e+02, 3, 6.276886e+01, 2.009629e+01, 8.277808e+01, 2.325161e+04, 7.741893e+03, 0,  6.276886e+01, 2.009629e+01, 8.277808e+01, -5.740737e+03, 1.277006e+04, 1
1, 69, 1.137800e+01, 3, 3.925410e+02, 3, 6.262939e+01, 2.146569e+01, 8.277562e+01, 1.866962e+04, 8.757682e+03, 0,  6.502651e+01, 2.342751e+01, 8.277562e+01, 2.082025e+04, 1.170188e+04, 0
1, 69, 1.706700e+01, 4, 3.925410e+02, 3, 6.388166e+01, 2.244532e+01, 8.341523e+01, 1.872200e+04, 9.278304e+03, 9.881313e-324,  6.388166e+01, 2.244532e+01, 8.341523e+01, 9.390284e+02, 1.329265e+04, 1
1, 69, 2.275600e+01, 5, 3.925410e+02, 3, 6.370820e+01, 2.200334e+01, 8.367445e+01, 1.894984e+04, 8.003857e+03, 0,  6.526029e+01, 2.475764e+01, 8.367445e+01, 1.841577e+04, 1.181801e+04, 0
1, 69, 2.844500e+01, 6, 3.925410e+02, 3, 6.309172e+01, 2.072204e+01, 8.277623e+01, 1.337821e+04, 7.106524e+03, 0,  6.309172e+01, 2.072204e+01, 8.277623e+01, -9.764837e+02, 1.371795e+04, 1
1, 69, 3.413400e+01, 7, 3.925410e+02, 3, 6.430659e+01, 2.252746e+01, 8.288204e+01, 1.193127e+04, 7.197090e+03, 4.780809e-304,  6.523213e+01, 2.383653e+01, 8.288204e+01, 1.853281e+04, 1.231570e+04, 0
1, 69, 3.982300e+01, 8, 3.925410e+02, 3, 6.391757e+01, 2.187759e+01, 8.405722e+01, 2.580470e+04, 8.622832e+03, 0,  6.558628e+01, 2.381011e+01, 8.405722e+01, 2.312407e+04, 1.210070e+04, 0
1, 69, 4.551200e+01, 9, 3.925410e+02, 3, 6.481924e+01, 2.352299e+01, 8.356744e+01, 1.707074e+04, 8.470077e+03, 0,  6.502180e+01, 2.321762e+01, 8.356744e+01, 1.430611e+04, 1.387129e+04, 1.882144e-192
1, 69, 5.120100e+01, 10, 3.925410e+02, 3, 6.495111e+01, 2.154427e+01, 8.408705e+01, 2.017860e+04, 7.508756e+03, 0,  6.611918e+01, 2.356891e+01, 8.408705e+01, 2.234080e+04, 1.382767e+04, 0
1, 69, 5.689000e+01, 11, 3.925410e+02, 3, 6.612089e+01, 2.255825e+01, 8.193229e+01, 2.103793e+04, 6.833512e+03, 0,  6.663098e+01, 2.533990e+01, 8.193229e+01, 1.902450e+04, 1.369487e+04, 0
1, 69, 6.257900e+01, 12, 3.925410e+02, 3, 6.622598e+01, 2.375952e+01, 8.431002e+01, 2.054480e+04, 7.552952e+03, 0,  6.622598e+01, 2.375952e+01, 8.431002e+01, -5.139921e+03, 1.543547e+04, 1
1, 69, 6.826800e+01, 13, 3.925410e+02, 3, 6.628079e+01, 2.350239e+01, 8.383227e+01, 1.895668e+04, 6.823700e+03, 0,  6.628079e+01, 2.350239e+01, 8.383227e+01, -4.923786e+03, 1.368033e+04, 1
1, 69, 7.395700e+01, 14, 3.925410e+02, 3, 6.608588e+01, 2.413534e+01, 8.278664e+01, 1.156566e+04, 7.259554e+03, 1.038986e-294,  6.770308e+01, 2.687571e+01, 8.278664e+01, 2.789174e+03, 1.280468e+04, 1
1, 69, 7.964600e+01, 15, 3.925410e+02, 3, 6.613885e+01, 2.447577e+01, 8.330884e+01, 1.529049e+04, 8.352907e+03, 0,  6.695073e+01, 2.652607e+01, 8.330884e+01, 2.359839e+04, 1.346219e+04, 0
1, 69, 8.533500e+01, 16, 3.925410e+02, 3, 6.564482e+01, 2.425042e+01, 8.209274e+01, 1.147019e+04, 7.664401e+03, 0,  6.563408e+01, 2.619973e+01, 8.209274e+01, 3.122336e+04, 1.391588e+04, 0
1, 69, 9.102400e+01, 17, 3.925410e+02, 3, 6.503242e+01, 2.379773e+01, 8.270911e+01, 2.165656e+04, 8.717076e+03, 0,  6.569420e+01, 2.649259e+01, 8.270911e+01, 1.869181e+04, 1.292498e+04, 0
1, 69, 9.671300e+01, 18, 3.925410e+02, 3, 6.555262e+01, 2.527766e+01, 8.355294e+01, 1.704660e+04, 8.197337e+03, 0,  6.539356e+01, 2.680681e+01, 8.355294e+01, 1.921519e+04, 1.294414e+04, 0
1, 69, 1.024020e+02, 19, 3.925410e+02, 3, 6.473769e+01, 2.263276e+01, 8.331179e+01, 1.541967e+04, 6.757691e+03, 0,  6.364432e+01, 2.122281e+01, 8.331179e+01, 2.296528e+03, 1.280391e+04, 1
1, 69, 1.080910e+02, 20, 3.925410e+02, 3, 6.431174e+01, 2.301386e+01, 8.322048e+01, 1.973453e+04, 7.121521e+03, 0,  6.431174e+01, 2.301386e+01, 8.322048e+01, 8.203440e+02, 1.401508e+04, 1
1, 69, 1.137800e+02, 21, 3.925410e+02, 3, 6.401263e+01, 2.357887e+01, 8.390759e+01, 2.353557e+04, 5.774883e+03, 0,  6.401263e+01, 2.357887e+01, 8.390759e+01, -4.432696e+03, 1.382002e+04, 1
1, 69, 1.194690e+02, 22, 3.925410e+02, 3, 6.367161e+01, 2.256805e+01, 8.287497e+01, 1.383183e+04, 6.216825e+03, 0,  6.367161e+01, 2.256805e+01, 8.287497e+01, -6.043876e+03, 1.243919e+04, 1
1, 69, 1.251580e+02, 23, 3.925410e+02, 3, 6.369169e+01, 2.430196e+01, 8.234169e+01, 1.301261e+04, 7.824013e+03, 0,  6.424641e+01, 2.621172e+01, 8.234169e+01, 2.698640e+04, 1.420419e+04, 0
1, 69, 1.308470e+02, 24, 3.925410e+02, 3, 6.218245e+01, 2.324577e+01, 8.345347e+01, 1.510009e+04, 7.099801e+03, 5.616027e-313,  6.218245e+01, 2.324577e+01, 8.345347e+01, -7.302073e+02, 1.165639e+04, 1
