#x[px], y[px], z[px], A
7.222115e+00, 2.415857e+01, 1.608598e+00, 2.185094e+03 
6.310200e+01, 2.699069e+01, 3.957567e+00, 2.175790e+03 
8.494492e+01, 8.561743e+01, 3.565789e+00, 1.129035e+04 
8.625247e+01, 9.130279e+01, 3.986458e+00, 2.243716e+04 
5.852984e+01, 1.596868e+01, 4.877435e+00, 2.957949e+03 
7.038862e+01, 2.810944e+01, 5.653519e+00, 3.020541e+03 
7.148001e+01, 6.523546e+01, 5.053586e+00, 4.582486e+03 
9.424497e+01, 3.805349e+01, 4.210870e+00, 2.086636e+03 
5.834673e+01, 6.826517e+00, 6.552806e+00, 2.257222e+03 
6.885738e+01, 2.789156e+00, 6.090916e+00, 1.224316e+04 
7.257032e+01, 3.680823e+01, 6.338013e+00, 2.056491e+03 
7.777818e+01, 3.806226e+00, 6.439230e+00, 3.148069e+03 
7.854854e+01, 7.166207e+01, 4.754229e+00, 2.223874e+03 
8.032224e+01, 6.402233e+01, 7.296049e+00, 6.258466e+03 
8.361987e+01, 2.644256e+01, 5.856331e+00, 2.207307e+03 
9.043902e+01, 1.655669e+01, 6.543818e+00, 3.202958e+03 
9.366705e+01, 1.826642e+01, 6.141238e+00, 5.933006e+03 
9.419416e+01, 4.586472e+01, 4.355561e+00, 2.546905e+03 
6.287474e+01, 8.400876e+01, 6.153176e+00, 3.981538e+03 
6.386602e+01, 2.228466e+01, 8.459095e+00, 2.381391e+03 
6.440490e+01, 6.887294e+01, 8.284443e+00, 2.211686e+03 
7.465724e+01, 8.593802e+01, 9.197311e+00, 2.157984e+04 
8.242892e+01, 1.674821e+01, 8.039234e+00, 2.089799e+03 
8.842599e+01, 3.294193e+01, 6.646728e+00, 7.399230e+03 
7.676650e+01, 2.908532e+01, 8.025089e+00, 2.297401e+03 
8.007146e+01, 3.721025e+01, 7.940948e+00, 3.095915e+03 
8.296237e+01, 5.074877e+01, 7.811922e+00, 5.244873e+03 
5.898712e+01, 8.837731e+01, 8.440861e+00, 9.474793e+03 
6.004809e+01, 9.569276e+01, 1.103818e+01, 2.834515e+03 
8.041942e+01, 6.309008e+01, 8.895230e+00, 5.640866e+03 
8.226080e+01, 7.888307e+01, 9.059520e+00, 1.088177e+04 
9.298393e+01, 9.233509e+01, 7.860020e+00, 2.870652e+03 
9.649195e+01, 8.762181e+00, 8.788789e+00, 1.316304e+04 
4.630938e+01, 4.552551e+01, 9.647099e+00, 2.166966e+03 
5.832230e+01, 9.557509e+01, 1.075537e+01, 2.657045e+03 
6.355693e+01, 6.987248e+01, 1.041708e+01, 2.653068e+03 
6.152791e+01, 1.747181e+01, 1.037612e+01, 3.436549e+03 
6.446765e+01, 6.460658e+01, 1.024548e+01, 2.613959e+03 
6.466385e+01, 3.211576e+01, 1.011804e+01, 7.788607e+03 
7.153348e+01, 2.090103e+01, 1.044647e+01, 3.728224e+03 
9.078899e+01, 8.291635e+01, 1.176139e+01, 2.495814e+03 
9.876335e+01, 3.197068e+01, 8.715100e+00, 2.001690e+03 
8.735568e+00, 9.396319e+00, 1.046362e+01, 2.077780e+03 
7.882554e+01, 9.066273e+01, 1.267716e+01, 4.989854e+03 
7.487937e+01, 8.656633e+01, 1.192411e+01, 3.975341e+04 
7.911618e+01, 9.776632e+01, 1.213165e+01, 1.384038e+04 
7.021923e+01, 9.583626e+01, 1.201615e+01, 9.556395e+03 
8.158738e+01, 8.824233e+01, 1.299007e+01, 1.064651e+04 
9.392749e+01, 7.811998e+01, 1.252458e+01, 2.218510e+03 
5.028845e+01, 8.878932e+01, 1.615576e+01, 2.130391e+03 
4.940105e+01, 9.427934e+01, 1.351111e+01, 3.125720e+03 
8.303500e+01, 6.518318e+01, 1.267008e+01, 2.894501e+03 
9.061485e+01, 2.661311e+01, 1.297221e+01, 4.266108e+03 
5.947462e+01, 6.110262e+00, 1.403712e+01, 2.085290e+03 
6.098969e+01, 9.278834e+01, 1.455766e+01, 5.796302e+03 
7.061382e+01, 3.778555e+01, 1.581252e+01, 2.234821e+03 
8.388422e+01, 8.163165e+01, 1.440538e+01, 7.882739e+03 
6.409416e+01, 6.704676e+01, 1.620411e+01, 6.996975e+03 
6.905959e+01, 5.512219e+01, 1.589679e+01, 3.734718e+03 
7.617747e+01, 7.774988e+01, 1.753098e+01, 1.490414e+04 
4.909998e+00, 9.878107e+01, 1.775634e+01, 2.103242e+03 
6.533267e+01, 2.664839e+01, 1.750202e+01, 1.425748e+04 
8.799814e+01, 9.196181e+01, 1.736225e+01, 2.108139e+03 
3.241453e+01, 9.760009e+01, 1.898748e+01, 2.760511e+03 
5.018072e+01, 8.956049e+01, 1.744018e+01, 2.284727e+03 
5.784031e+01, 2.372487e+01, 1.846388e+01, 1.294136e+04 
6.473129e+01, 4.161850e+01, 1.799861e+01, 3.995354e+03 
5.367446e+01, 9.254792e+01, 2.043238e+01, 2.775411e+03 
5.828140e+01, 2.887556e+01, 1.894000e+01, 1.648240e+04 
7.664435e+01, 6.708993e+01, 1.853882e+01, 1.722733e+04 
9.518840e+01, 8.643092e+01, 1.944469e+01, 4.721600e+03 
2.661309e+01, 7.977546e+01, 2.003530e+01, 2.111378e+03 
4.429905e+01, 8.875317e+01, 2.118539e+01, 2.478614e+03 
6.564482e+01, 2.425042e+01, 1.890726e+01, 1.147019e+04 
7.459892e+01, 7.780144e+01, 1.945521e+01, 1.531198e+04 
7.638654e+01, 2.643537e+01, 2.076688e+01, 2.127929e+03 
8.398758e+01, 1.512207e+01, 2.033097e+01, 5.458524e+03 
5.300589e+01, 4.034830e+00, 2.052836e+01, 5.606943e+03 
6.250502e+01, 7.497805e+01, 2.129657e+01, 3.274331e+03 
6.380324e+01, 8.771645e+01, 2.071830e+01, 6.304102e+03 
7.041220e+01, 8.212560e+01, 2.074271e+01, 9.151786e+03 
7.277680e+01, 5.225260e+01, 2.167879e+01, 5.776235e+03 
8.497167e+01, 7.483954e+01, 1.967934e+01, 2.095871e+03 
3.428842e+01, 9.808977e+01, 2.106975e+01, 2.703258e+03 
4.758865e+01, 3.165093e+01, 2.165791e+01, 2.793059e+03 
5.447400e+01, 9.340092e+01, 2.168081e+01, 2.212661e+03 
6.500526e+01, 7.492051e+01, 2.229918e+01, 2.697748e+03 
7.885332e+01, 4.418452e+01, 2.209465e+01, 1.148091e+04 
4.893277e+01, 8.573544e+01, 2.402040e+01, 2.622529e+03 
6.122114e+01, 4.552284e+01, 2.460628e+01, 2.352703e+03 
6.094299e+01, 4.840741e+01, 2.366744e+01, 2.387529e+03 
6.912798e+01, 1.622059e+01, 2.307717e+01, 2.412515e+03 
7.146484e+01, 2.923458e+01, 2.290904e+01, 3.338807e+03 
7.147160e+01, 5.970917e+01, 2.527672e+01, 2.447822e+03 
2.617293e+00, 3.938812e+01, 2.351101e+01, 2.333364e+03 
6.937935e+01, 9.848239e+01, 2.371946e+01, 5.282018e+03 
8.636122e+01, 8.684240e+00, 2.435055e+01, 5.569216e+03 
5.257114e+01, 7.754953e+01, 2.588448e+01, 2.479331e+03 
9.621497e+01, 1.179224e+01, 2.546800e+01, 2.001557e+03 
5.415444e+01, 4.851356e+01, 2.804530e+01, 2.426247e+03 
5.312826e+01, 9.493732e+01, 2.452656e+01, 2.466606e+03 
5.503995e+01, 3.368020e+01, 2.637126e+01, 4.041534e+03 
5.812319e+01, 9.044403e+01, 2.695422e+01, 3.957314e+03 
6.507906e+01, 3.448229e+01, 2.613995e+01, 8.368004e+03 
4.704085e+01, 9.500737e+01, 2.686359e+01, 9.672384e+03 
4.750104e+01, 4.213794e+01, 2.869545e+01, 2.115101e+03 
2.441252e+00, 5.797970e+00, 2.814248e+01, 2.672622e+03 
5.588638e+01, 2.119136e+01, 2.795455e+01, 7.851326e+03 
6.694398e+01, 4.655765e+01, 2.755320e+01, 3.843398e+03 
7.091441e+01, 5.985282e+01, 2.888008e+01, 4.560103e+03 
4.742072e+00, 9.747549e+01, 2.912154e+01, 2.105017e+03 
5.317904e+00, 8.775256e+01, 3.023094e+01, 2.810794e+03 
3.609556e+01, 9.733317e+01, 3.001569e+01, 2.360719e+03 
6.660092e+01, 4.090399e+01, 2.852979e+01, 6.498435e+03 
6.801102e+01, 5.464298e+01, 2.996927e+01, 2.184698e+03 
6.748046e+01, 2.668876e+00, 2.963083e+01, 2.577579e+03 
7.284733e+01, 8.301175e+01, 2.859020e+01, 5.908940e+03 
7.957419e+01, 5.399687e+01, 2.932744e+01, 1.805065e+04 
8.106765e+01, 7.600494e+01, 2.918875e+01, 2.208197e+03 
8.067753e+01, 4.640332e+01, 2.815506e+01, 5.441521e+03 
9.321936e+01, 8.388375e+01, 3.050537e+01, 2.551517e+03 
3.398071e+01, 2.461074e+01, 3.109136e+01, 4.014641e+03 
4.081454e+01, 6.400949e+01, 3.221191e+01, 2.043269e+03 
4.901260e+01, 6.381380e+01, 3.074844e+01, 4.938796e+03 
4.970680e+01, 8.996979e+01, 3.003388e+01, 2.197462e+04 
5.312924e+01, 1.470263e+01, 3.197763e+01, 2.946870e+03 
5.398061e+01, 3.762942e+01, 2.995682e+01, 1.053738e+04 
5.929765e+01, 8.760205e+01, 3.105472e+01, 5.992679e+03 
6.215401e+01, 4.494615e+01, 2.843582e+01, 2.950129e+03 
7.060705e+01, 7.476336e+01, 2.935858e+01, 2.290435e+03 
7.605429e+01, 9.517427e+01, 3.037920e+01, 1.375020e+04 
7.681404e+01, 4.533162e+01, 2.904858e+01, 5.608391e+03 
7.896578e+01, 2.391283e+01, 3.010692e+01, 8.469930e+03 
7.948799e+01, 1.090433e+01, 3.025153e+01, 1.779446e+04 
8.925842e+00, 6.940976e+01, 3.155172e+01, 2.097869e+03 
2.970580e+01, 9.037977e+01, 3.104622e+01, 9.818619e+03 
4.075595e+01, 7.082073e+01, 3.126021e+01, 2.654137e+03 
6.240310e+01, 6.050526e+01, 3.120602e+01, 2.731138e+03 
7.198701e+01, 8.922978e+01, 3.147447e+01, 1.021539e+04 
7.927358e+01, 4.621999e+00, 2.950319e+01, 4.639806e+03 
1.279975e+01, 5.706794e+01, 3.227796e+01, 3.046536e+03 
2.505651e+01, 4.572089e+01, 3.365577e+01, 3.468131e+03 
6.623897e+01, 2.699388e+01, 3.247539e+01, 2.725617e+03 
8.063653e+01, 3.443964e+01, 3.117732e+01, 5.062314e+03 
8.608129e+01, 9.438905e+01, 3.186419e+01, 3.640926e+03 
8.841332e+01, 5.973929e+01, 3.156918e+01, 2.068198e+03 
2.925047e+01, 8.762599e+01, 3.217359e+01, 3.122311e+03 
4.182660e+01, 6.396590e+01, 3.401210e+01, 2.067316e+03 
4.581761e+01, 3.622520e+01, 3.355519e+01, 1.279742e+04 
5.107292e+01, 2.130635e+01, 3.359015e+01, 5.629258e+03 
5.925296e+01, 2.188720e+01, 3.314377e+01, 8.973160e+03 
7.537141e+01, 8.403476e+01, 3.185794e+01, 4.276315e+03 
8.126996e+01, 3.023506e+01, 3.260280e+01, 2.353807e+03 
8.762676e+01, 3.469384e+01, 3.276840e+01, 2.545309e+03 
9.661574e+01, 9.236051e+01, 3.447263e+01, 5.455002e+03 
3.721921e+01, 4.039149e+01, 3.495903e+01, 2.191470e+03 
3.817542e+01, 2.835041e+01, 3.388060e+01, 7.113089e+03 
7.422859e+01, 2.480935e+01, 3.421056e+01, 3.869815e+03 
8.798784e+01, 7.385583e+01, 3.357566e+01, 3.872987e+03 
4.222508e+00, 2.853129e+00, 3.516410e+01, 3.129940e+03 
4.726384e+00, 5.577355e+01, 3.646399e+01, 2.150900e+03 
2.242556e+01, 8.462688e+01, 3.499987e+01, 2.141350e+03 
4.236660e+01, 5.791190e+01, 3.611725e+01, 2.422207e+03 
4.349752e+01, 2.782403e+01, 3.480753e+01, 4.105607e+03 
4.863557e+01, 2.033684e+01, 3.531980e+01, 6.529932e+03 
4.894503e+01, 4.944282e+01, 3.458524e+01, 3.780521e+03 
5.498014e+01, 8.312816e+01, 3.480995e+01, 4.656526e+03 
5.446498e+01, 3.068266e+01, 3.508580e+01, 3.510114e+03 
5.922607e+01, 8.277032e+01, 3.509422e+01, 3.183149e+04 
7.480306e+01, 2.236135e+01, 3.535050e+01, 4.434284e+03 
9.069510e+01, 9.222042e+01, 3.432429e+01, 3.754206e+03 
9.816290e+01, 8.265670e+01, 3.520599e+01, 2.331279e+03 
5.477463e+00, 4.621267e+01, 3.640013e+01, 1.131797e+04 
1.736811e+01, 5.527974e+01, 3.705174e+01, 2.196535e+03 
2.123258e+01, 2.732248e+00, 3.707626e+01, 5.497166e+03 
2.681168e+01, 6.501637e+01, 3.673423e+01, 3.414154e+03 
2.756804e+01, 1.306088e+01, 3.732139e+01, 2.983831e+03 
3.050210e+01, 2.881681e+01, 3.665593e+01, 3.033807e+03 
4.675055e+01, 1.604649e+01, 3.577292e+01, 1.357839e+04 
6.930515e+01, 6.322809e+01, 3.548187e+01, 4.669818e+03 
7.340839e+01, 5.336518e+01, 3.668791e+01, 3.701247e+03 
9.507766e+00, 6.623291e+01, 3.755098e+01, 3.231198e+03 
1.082897e+01, 9.341136e+01, 3.668529e+01, 2.052456e+03 
2.024196e+01, 1.161185e+01, 3.677086e+01, 1.241843e+04 
2.451877e+01, 4.838922e+01, 3.722859e+01, 8.604238e+03 
2.619226e+01, 3.199462e+01, 3.701692e+01, 1.198810e+04 
3.747115e+01, 8.954123e+01, 3.668303e+01, 7.515240e+03 
4.061032e+01, 4.679475e+01, 3.702321e+01, 2.318260e+03 
4.368185e+01, 7.911810e+01, 3.680938e+01, 3.495621e+03 
4.533610e+01, 8.258303e+01, 3.754126e+01, 2.713572e+03 
4.357694e+01, 9.274590e+01, 3.672517e+01, 2.385479e+03 
5.871707e+01, 5.161376e+01, 3.781910e+01, 4.372943e+03 
6.142423e+01, 7.123637e+01, 3.744371e+01, 2.727967e+03 
6.758545e+01, 3.670849e+01, 3.597694e+01, 2.920676e+03 
3.020599e+01, 2.022261e+01, 3.799764e+01, 2.491296e+03 
3.064833e+01, 8.209216e+01, 3.784249e+01, 2.087255e+03 
3.312008e+01, 3.271928e+01, 3.840091e+01, 5.780903e+03 
3.806457e+01, 5.105944e+01, 3.750726e+01, 4.495465e+03 
4.114701e+01, 6.265499e+01, 3.796191e+01, 2.056144e+03 
5.211176e+01, 1.014870e+01, 3.752373e+01, 1.723364e+04 
6.571349e+01, 8.263946e+01, 3.781126e+01, 7.281825e+03 
7.135600e+01, 5.763179e+01, 3.853154e+01, 7.676932e+03 
9.664211e+01, 9.577638e+01, 3.813296e+01, 6.311217e+03 
5.789858e+00, 7.655446e+01, 3.831821e+01, 2.401269e+03 
8.566759e+00, 1.272029e+01, 3.869070e+01, 2.310283e+03 
1.348410e+01, 3.838593e+01, 3.996541e+01, 5.627464e+03 
1.713627e+01, 7.936369e+01, 3.876236e+01, 2.888870e+03 
1.940670e+01, 4.095490e+01, 3.935049e+01, 3.592902e+03 
4.008033e+01, 8.573409e+00, 3.895240e+01, 3.345289e+03 
4.379823e+01, 6.975960e+01, 3.939109e+01, 5.556531e+03 
6.029139e+00, 3.978462e+01, 4.018610e+01, 1.934886e+04 
1.981632e+01, 9.779682e+01, 4.033080e+01, 3.320838e+03 
3.278466e+01, 1.640129e+01, 4.005627e+01, 2.116376e+03 
7.399780e+01, 3.571297e+01, 4.129670e+01, 3.200881e+03 
7.683129e+01, 6.808093e+01, 4.042008e+01, 1.753198e+04 
9.241786e+01, 8.971211e+01, 4.030097e+01, 2.617048e+03 
1.206241e+01, 2.385389e+01, 4.098039e+01, 5.756456e+03 
2.028286e+01, 7.471439e+01, 4.094647e+01, 2.627479e+03 
