track Id,Classification,cut,Comment
139,0,,
143,0,,
144,2,"[18,36]",The whole thing was not a signal only parts 18-36
147,0,,
149,0,,Box picked up noise but particles around indicate signal
151,0,,Box had trouble picking up but surrounding indicates signal
152,0,,
155,0,,
156,0,,Signal seems to be occuring around but not in box ask about this one
160,0,,
163,0,,
165,0,,
166,0,,Complete noise
169,0,,
171,0,,Box did not capture anything
173,2,"[19,24]",[19-24] had signal but was not exactly in the middle?
174,0,,Could not capture in the center
176,0,,Could not capture in the center
178,0,,Complete noise
181,0,,Too much movement
184,0,,Box did not capture anything
185,0,,
186,2,,"[35,49] slave increased in size then went down master remained relatively stable"
187,0,,
188,0,,Too much going on some indication of signal but not captured in box
189,0,,
190,0,,
196,0,,
199,0,,
200,2,"[0,27]","Master shrinks then disappears then slave increases significantly [0,27]"
201,0,,
203,0,,
205,0,,
206,2,"[56,69]","Very obvious growth of slave [56,69]"
207,0,,
208,0,,Had random growth of master and slave but box did not capture well
209,0,,Box did not capture
211,0,,
213,0,,Box did not capture
216,1,"[24,49]",[24-49] regular signal ask about whether this is 2 or 1
218,0,,
221,0,,
225,2,"[55,61]",[55-61] growth of master/slave then decline but a little on edge
226,2,"[0,25]",[0-25] growth in master with a growth in slave at multiple interval
227,0,,
228,0,,
229,0,,
230,0,,
231,0,,
232,0,,Slave maintained its shape but was not always in the box
234,0,,Had signal pattern but box did not pick up 
237,2,"[43,51]",[43-51] slave increased in size and went down while master increased 
240,0,"[55,59]",[55-59] had very nice slave growth
241,2,"[52,60]",[52-60] master grew then shrunked and [60-65] seems like a signal
246,0,,
247,0,,
250,0,"[53,55]",[53-55] had interesting signal related pattern but seemed too short
254,0,,
255,1,"[5,31]",[5-31] 
256,2,"[26,32]",[26-32] seemed like a signal
257,0,,
258,0,,
259,0,,
260,0,,
261,0,,
262,2,"[0,14]",[0-14] signal!
263,2,"[0,21]",[0-21] there was a large growth in the master
265,0,,
269,0,,
270,0,,
272,0,,
273,0,,
274,2,"[30,52]",[30-52] Slave increases on master then goes down and then it repeats one more time
282,0,,
287,0,,
288,0,,
289,0,,
290,0,,
291,0,,
293,0,,
296,0,,
297,0,,
298,0,,
305,0,,
306,0,,
307,0,,
309,0,,
310,0,,
312,0,,
313,0,,
316,0,,
318,0,,
320,2,"[1,20]",[1-20] lots of interesting fluctuations between master and slave
324,0,,
325,1,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
