#x[px], y[px], z[px], A
1.166645e+01, 9.683336e+01, 2.702080e+00, 5.241522e+03 
8.095057e+01, 7.773728e+01, 3.449729e+00, 1.177700e+04 
7.283262e+01, 8.700588e+01, 4.382279e+00, 5.130492e+03 
8.328625e+01, 5.364134e+01, 4.045275e+00, 7.675006e+03 
8.306883e+01, 7.507696e+01, 3.411747e+00, 7.394738e+03 
7.326801e+01, 3.095304e+01, 5.307892e+00, 6.125025e+03 
8.729526e+01, 4.911512e+01, 5.783123e+00, 6.832823e+03 
6.934525e+01, 9.117119e+01, 7.665855e+00, 5.763557e+03 
8.141581e+01, 6.376645e+01, 7.703007e+00, 7.997022e+03 
8.233640e+01, 7.901533e+01, 6.682835e+00, 7.685560e+03 
9.607844e+01, 1.138679e+01, 7.590378e+00, 1.109245e+04 
6.105060e+01, 1.837254e+01, 9.548229e+00, 6.026154e+03 
9.368709e+01, 2.285690e+01, 8.585507e+00, 1.144018e+04 
8.146258e+01, 9.109042e+01, 1.076417e+01, 7.010155e+03 
5.548313e+01, 9.489124e+01, 1.240435e+01, 5.887520e+03 
7.851016e+01, 8.948899e+01, 1.131379e+01, 5.606515e+03 
8.355314e+01, 7.948808e+01, 1.044022e+01, 5.343342e+03 
5.575318e+01, 9.313829e+01, 1.486164e+01, 5.358486e+03 
6.227844e+01, 2.461092e+01, 1.771934e+01, 1.165418e+04 
7.661067e+01, 7.953623e+01, 1.750245e+01, 2.499644e+04 
7.762046e+01, 6.842670e+01, 1.757709e+01, 2.981148e+04 
5.463835e+01, 2.381921e+01, 1.937828e+01, 8.942180e+03 
5.899062e+01, 3.080093e+01, 1.995005e+01, 2.185192e+04 
7.128863e+01, 8.274099e+01, 1.967755e+01, 7.832183e+03 
6.021102e+01, 2.096842e+01, 2.108680e+01, 9.862109e+03 
7.990315e+01, 4.524229e+01, 2.177432e+01, 5.133124e+03 
5.561990e+01, 3.927107e+01, 2.529370e+01, 7.225020e+03 
6.426126e+01, 2.166618e+01, 2.383242e+01, 5.503113e+03 
4.933965e+01, 9.643574e+01, 2.646025e+01, 5.244059e+03 
6.101154e+01, 3.658053e+01, 2.640479e+01, 9.154555e+03 
8.044455e+01, 1.307892e+01, 2.659048e+01, 8.613224e+03 
9.135643e+01, 9.699091e+01, 2.759699e+01, 5.218868e+03 
5.591855e+01, 2.740530e+01, 2.733590e+01, 9.876076e+03 
7.943705e+01, 2.763960e+01, 2.842960e+01, 1.258968e+04 
8.163907e+01, 5.670117e+01, 2.746432e+01, 1.704640e+04 
8.390743e+01, 5.127398e+01, 2.816861e+01, 1.156149e+04 
5.108008e+01, 9.185814e+01, 2.878818e+01, 1.133866e+04 
6.223774e+01, 3.108844e+01, 2.900498e+01, 1.047343e+04 
7.490316e+01, 9.167518e+01, 2.926119e+01, 6.482120e+03 
6.162372e+01, 8.363199e+01, 3.177678e+01, 5.079548e+03 
7.440938e+01, 8.416695e+01, 2.979813e+01, 1.400027e+04 
7.775894e+01, 9.681998e+01, 2.942097e+01, 1.083329e+04 
6.520528e+01, 8.631575e+01, 3.205687e+01, 5.293607e+03 
6.676949e+01, 9.215860e+01, 3.075985e+01, 5.289783e+03 
6.201668e+01, 2.184311e+01, 3.225743e+01, 7.514676e+03 
6.710904e+01, 8.704955e+01, 3.277499e+01, 6.289440e+03 
9.618544e+01, 9.562795e+01, 3.166669e+01, 7.601273e+03 
5.636916e+01, 3.204898e+01, 3.327506e+01, 1.067442e+04 
5.621455e+01, 1.002378e+01, 3.398817e+01, 7.826781e+03 
6.723216e+01, 1.883742e+01, 3.361690e+01, 5.952219e+03 
3.478481e+01, 5.937049e+01, 3.496196e+01, 6.415079e+03 
4.873311e+00, 5.913088e+01, 3.646648e+01, 7.953460e+03 
1.752455e+01, 5.887752e+01, 3.568826e+01, 5.032140e+03 
4.253215e+01, 8.057084e+01, 3.657568e+01, 5.316274e+03 
4.976236e+01, 1.397290e+01, 3.562277e+01, 1.355572e+04 
5.426496e+01, 8.372204e+01, 3.658804e+01, 5.341307e+03 
7.866810e+01, 5.466534e+01, 3.668712e+01, 6.790149e+03 
2.344453e+01, 1.109521e+01, 3.663287e+01, 8.551200e+03 
3.934491e+01, 7.047045e+01, 3.772566e+01, 1.204414e+04 
1.848940e+01, 8.227584e+00, 3.756011e+01, 7.577592e+03 
8.506302e+01, 1.773466e+01, 3.845771e+01, 1.224026e+04 
6.890708e+01, 7.871645e+01, 3.850169e+01, 2.471135e+04 
4.532176e+01, 7.116798e+01, 4.023467e+01, 8.057406e+03 
2.569390e+01, 1.941174e+01, 4.094124e+01, 1.252267e+04 
6.332396e+01, 9.572965e+01, 4.193371e+01, 5.622032e+03 
1.034924e+01, 4.662746e+01, 4.183140e+01, 6.556036e+03 
6.510229e+01, 7.914460e+01, 4.028265e+01, 1.193369e+04 
7.847913e+01, 8.277469e+01, 4.220700e+01, 6.960677e+03 
3.089540e+00, 9.722374e+01, 4.260189e+01, 6.757072e+03 
5.911596e+01, 6.902896e+01, 4.213871e+01, 6.574007e+03 
7.922426e+01, 2.612275e+01, 4.474808e+01, 5.352420e+03 
7.953958e+01, 7.934771e+00, 4.262576e+01, 6.892432e+03 
8.488795e+01, 5.582384e+01, 4.312261e+01, 9.043326e+03 
8.440852e+01, 6.596558e+01, 4.325942e+01, 1.967890e+04 
6.085482e+01, 9.192368e+01, 4.339554e+01, 1.367633e+04 
7.940779e+01, 3.646786e+01, 4.380483e+01, 1.714624e+04 
8.523046e+01, 4.707682e+01, 4.410694e+01, 5.586055e+03 
8.717478e+01, 1.568540e+01, 4.189991e+01, 7.841440e+03 
