#x[px], y[px], z[px], A
3.610434e+01, 1.251011e+01, 2.069523e+00, -3.012757e+03 
6.792416e+01, 7.389666e+00, 2.566631e+00, 4.174857e+03 
8.035892e+01, 5.245557e+01, 3.523498e+00, 1.394553e+04 
8.056132e+01, 7.587594e+01, 2.698656e+00, 1.707407e+04 
8.932762e+01, 2.145057e+01, 2.583038e+00, 1.033441e+04 
9.370751e+01, 4.317061e+00, 3.253728e+00, 6.772226e+03 
1.844749e+01, 9.853096e+01, 3.964859e+00, -9.675472e+02 
4.968008e+01, 6.278468e+00, 2.638035e+00, -1.463191e+02 
5.566811e+01, 1.034228e+01, 4.949769e+00, 9.389242e+03 
6.826263e+01, 4.871827e+01, 2.926781e+00, -1.986064e+03 
7.916681e+01, 2.894379e+01, 4.567752e+00, 1.079218e+03 
8.597058e+01, 3.450033e+01, 3.965178e+00, 3.579625e+04 
9.326454e+01, 1.327012e+01, 4.870291e+00, 8.556585e+03 
9.498333e+01, 8.480522e+01, 2.321625e+00, -5.593584e+02 
9.856157e+00, 9.616009e+01, 2.003967e+00, 6.267193e+03 
6.675402e+01, 1.491701e+01, 5.809129e+00, -2.760681e+03 
7.551243e+01, 3.735125e+01, 4.681276e+00, 9.617237e+03 
7.976390e+01, 3.590818e+01, 6.597894e+00, -3.435478e+03 
5.566470e+01, 8.282591e+01, 5.132445e+00, 6.622828e+03 
5.994253e+01, 9.045409e+01, 6.762414e+00, 1.797062e+04 
6.342635e+01, 6.676953e+01, 5.781611e+00, 9.146572e+03 
7.025364e+01, 2.286084e+01, 6.463735e+00, 4.830072e+03 
7.814587e+01, 6.628802e+01, 5.734239e+00, 1.101237e+04 
7.625381e+01, 4.693300e+01, 6.734726e+00, -6.741893e+01 
8.517335e+01, 7.545867e+01, 6.252361e+00, 1.020238e+04 
9.537710e+00, 5.165400e+00, 8.030714e+00, -9.313247e+02 
5.685596e+01, 2.159879e+01, 8.647177e+00, 1.585323e+04 
7.200310e+01, 3.792203e+00, 7.815332e+00, -3.826381e+03 
7.822367e+01, 2.942395e+00, 7.828097e+00, -1.773172e+03 
7.999899e+01, 3.521760e+01, 7.675421e+00, -6.140590e+03 
9.128794e+01, 2.647296e+01, 8.352838e+00, -5.635421e+02 
7.809493e+01, 9.405776e+01, 8.795081e+00, 1.147470e+04 
1.195964e+01, 5.936993e+01, 1.037894e+01, 3.953001e+03 
6.780467e+01, 1.457047e+01, 9.720613e+00, -2.147028e+03 
7.038388e+01, 2.713516e+01, 9.639469e+00, 7.427892e+03 
7.332132e+01, 9.059107e+01, 1.033648e+01, 3.324127e+03 
8.041410e+01, 3.655397e+01, 8.232458e+00, -4.002688e+03 
8.172040e+01, 5.998363e+01, 1.013539e+01, -6.575850e+02 
4.711644e+01, 9.594487e+01, 1.147791e+01, 1.043982e+04 
5.714433e+01, 9.405152e+01, 1.115879e+01, 1.061699e+04 
7.826747e+01, 2.695090e+01, 1.229993e+01, -2.432402e+02 
7.675562e+01, 7.992951e+01, 1.090480e+01, 4.472410e+03 
8.426426e+01, 9.830540e+01, 1.079652e+01, -6.228649e+03 
5.655276e+01, 9.415062e+01, 1.217882e+01, 8.134824e+03 
6.406616e+01, 6.076661e+01, 1.201856e+01, -3.320910e+02 
6.255338e+01, 2.583932e+01, 1.073345e+01, 6.765010e+03 
7.449896e+01, 5.754523e+01, 1.252477e+01, -2.473760e+02 
8.247614e+01, 8.459595e+01, 1.136513e+01, -4.277222e+02 
3.584054e+01, 8.830521e+01, 1.278182e+01, 2.319923e+03 
4.987951e+01, 8.883036e+01, 1.408886e+01, 1.781744e+02 
5.693703e+01, 1.492681e+01, 1.219612e+01, 9.894190e+03 
6.554408e+01, 4.257888e+01, 1.315497e+01, 1.181255e+03 
8.618146e+01, 8.605722e+01, 1.317834e+01, -1.017345e+03 
6.307795e+01, 2.094778e+01, 1.290212e+01, 3.299128e+03 
6.226289e+01, 7.043726e+01, 1.408959e+01, 1.975247e+04 
8.291394e+01, 6.286669e+01, 1.344768e+01, -3.314297e+03 
4.396756e+01, 9.538515e+01, 1.414337e+01, -3.029327e+03 
6.875678e+01, 3.723505e+01, 1.498738e+01, -1.669347e+03 
8.117411e+01, 2.526101e+01, 1.488662e+01, 5.282749e+03 
8.668477e+01, 7.404076e+01, 1.340963e+01, -2.763682e+03 
9.242134e+01, 9.174492e+01, 1.556662e+01, -1.117974e+03 
5.081694e+01, 9.487440e+00, 1.703502e+01, -1.390777e+03 
5.524454e+01, 8.583273e+01, 1.557873e+01, 1.035978e+04 
7.547782e+01, 2.431384e+01, 1.762428e+01, 7.111896e+03 
7.641124e+01, 1.952598e+01, 1.788905e+01, -1.277732e+03 
4.930823e+01, 8.862552e+01, 1.580204e+01, 2.850406e+03 
7.140251e+01, 8.378897e+01, 1.820590e+01, 8.839280e+03 
5.559142e+01, 9.399015e+01, 1.651313e+01, 4.536502e+03 
6.073819e+01, 3.699000e+01, 1.850561e+01, 3.781420e+03 
7.482996e+01, 6.880859e+01, 1.788547e+01, 1.737874e+04 
1.862577e+01, 1.003273e+02, 2.010107e+01, 1.270252e+04 
5.789308e+01, 2.559722e+01, 2.019176e+01, 6.369970e+03 
7.263752e+01, 2.211617e+01, 1.878430e+01, -6.987488e+02 
8.043582e+01, 8.495611e+01, 1.920067e+01, 4.080149e+03 
8.023168e+01, 7.686602e+01, 1.881573e+01, 7.897232e+03 
5.308759e+01, 4.709027e+00, 1.903423e+01, 5.093301e+03 
6.807759e+01, 8.636116e+01, 1.947641e+01, -1.132699e+03 
6.058562e+01, 2.916601e+01, 2.125714e+01, 1.026415e+04 
7.515926e+01, 1.125379e+01, 2.147667e+01, 5.997511e+03 
7.742663e+01, 4.529419e+01, 2.106312e+01, 9.629403e+03 
7.869434e+01, 5.728028e+01, 2.249355e+01, 8.721621e+03 
8.466314e+01, 2.155997e+01, 2.238249e+01, 7.782184e+03 
9.207692e+01, 5.878874e+00, 2.288195e+01, 4.066710e+03 
1.660199e+01, 6.996094e+01, 2.180344e+01, -3.025729e+02 
5.397919e+01, 1.403612e+01, 2.236077e+01, 8.678436e+03 
7.310830e+01, 2.763253e+01, 2.308454e+01, -5.093688e+02 
8.637379e+01, 9.564307e+00, 2.168457e+01, 4.114442e+03 
4.700544e+01, 9.790418e+01, 2.284713e+01, 4.250104e+03 
5.427942e+01, 3.253007e+01, 2.261437e+01, 9.444793e+03 
5.578746e+01, 7.637638e+01, 2.324782e+01, 9.282079e+02 
8.154443e+01, 9.488444e+01, 2.342097e+01, -4.568765e+02 
2.649084e+01, 2.626537e+00, 2.509736e+01, -2.082877e+03 
4.203377e+01, 1.781865e+00, 2.384665e+01, 4.736947e+03 
5.020683e+01, 9.466398e+01, 2.522943e+01, -9.681483e+02 
7.199273e+01, 2.480781e+01, 2.393625e+01, 2.979794e+03 
9.436264e+01, 5.461043e+00, 2.476934e+01, 1.158005e+03 
1.089636e+01, 2.002774e+01, 2.458076e+01, 1.862621e+03 
4.853942e+01, 2.114433e+01, 2.595355e+01, -4.459503e+02 
5.881141e+01, 2.014874e+01, 2.404553e+01, 1.082103e+04 
6.979152e+01, 1.816248e+01, 2.553011e+01, -2.098334e+03 
7.807185e+01, 6.475435e+01, 2.507198e+01, 3.006065e+03 
4.955134e+01, 3.998099e+01, 2.689023e+01, 5.162611e+03 
4.714031e+01, 5.477464e+01, 2.700357e+01, -1.572664e+03 
5.350071e+01, 3.939521e+01, 2.691403e+01, 1.000256e+04 
6.196219e+01, 1.126824e+01, 2.584916e+01, 4.429902e+03 
6.718443e+01, 6.085870e+01, 2.646056e+01, 6.293668e+03 
6.718317e+01, 6.859975e+01, 2.733259e+01, -1.981680e+03 
7.829542e+01, 6.054069e+01, 2.645694e+01, 4.954687e+03 
7.736340e+01, 1.544874e+01, 2.556940e+01, 9.316142e+03 
3.686771e+01, 9.853183e+01, 2.657429e+01, -2.425199e+03 
6.952450e+01, 5.884155e+01, 2.787530e+01, 7.524443e+03 
7.725999e+01, 2.816992e+00, 2.633877e+01, -1.190479e+02 
1.991587e+01, 5.431905e+00, 2.763583e+01, -1.151035e+03 
4.721278e+01, 2.578622e+01, 2.887312e+01, 3.808635e+03 
5.025930e+01, 2.961157e+01, 2.817595e+01, 4.680368e+03 
5.727388e+01, 7.569368e+01, 2.727438e+01, 1.938360e+02 
7.198321e+01, 8.412472e+01, 2.841163e+01, 3.139586e+04 
8.073292e+01, 7.727891e+01, 2.786674e+01, 6.396322e+03 
7.858857e+01, 1.174235e+01, 2.755351e+01, 7.343266e+03 
7.937274e+01, 4.913033e+01, 2.794858e+01, 1.036011e+04 
8.978626e+01, 9.676254e+01, 2.833567e+01, 1.397653e+04 
1.149924e+01, 7.612367e+01, 3.031638e+01, -1.563392e+02 
2.492719e+01, 9.459861e+01, 2.931554e+01, -3.480206e+03 
2.984104e+01, 7.530286e+01, 2.944975e+01, -6.540487e+02 
3.925477e+01, 2.162730e+01, 2.942483e+01, -2.250453e+02 
5.320725e+01, 7.086755e+01, 2.968813e+01, 7.704438e+03 
5.363546e+01, 3.916897e+01, 2.834244e+01, 8.075438e+03 
5.429327e+01, 3.978707e+01, 2.796976e+01, 9.227178e+03 
6.235190e+01, 8.146415e+00, 2.905269e+01, -2.987641e+03 
7.785115e+01, 2.786055e+01, 2.877904e+01, 1.728259e+04 
7.266955e+00, 2.726458e+01, 3.109384e+01, 2.105024e+03 
2.330710e+01, 9.010660e+01, 3.074604e+01, 2.333505e+03 
3.173430e+01, 1.220238e+00, 3.016123e+01, 5.937985e+03 
4.951552e+01, 6.012844e+01, 2.991150e+01, -8.497429e+02 
5.417000e+01, 1.618802e+01, 3.043822e+01, 8.487055e+03 
5.758005e+01, 9.805068e+01, 3.026054e+01, -2.461782e+03 
6.582470e+01, 4.053546e+01, 3.004599e+01, 5.615957e+03 
6.584558e+01, 9.159004e+01, 3.008824e+01, 7.266457e+03 
6.999684e+01, 3.856772e+01, 2.954458e+01, 4.448558e+03 
7.278961e+01, 9.638524e+01, 2.931203e+01, 8.005933e+04 
7.797368e+01, 3.527565e+01, 2.999035e+01, 7.272019e+03 
4.583839e+01, 6.985330e+01, 3.079289e+01, 6.265766e+03 
5.013763e+01, 5.099977e+01, 3.267382e+01, 2.319813e+03 
6.027697e+01, 8.084480e+01, 3.142034e+01, 6.511286e+03 
7.977644e+01, 6.771435e+01, 3.192120e+01, 6.658255e+03 
9.208689e+01, 8.355169e+01, 3.213659e+01, 9.171881e+03 
4.555230e+00, 5.943988e+00, 3.242816e+01, 9.021373e+03 
1.665936e+01, 5.720400e+01, 3.230975e+01, 5.996188e+03 
3.338931e+01, 9.243612e+01, 3.205341e+01, 5.688919e+03 
3.433452e+01, 9.143570e+01, 3.404932e+01, 1.057692e+04 
5.279630e+01, 3.931536e+01, 2.967547e+01, 8.277694e+03 
7.267743e+01, 3.570597e+01, 3.225936e+01, 4.878727e+03 
7.357852e+01, 1.998127e+01, 3.301813e+01, 5.173867e+03 
8.471963e+01, 8.859654e+01, 3.258888e+01, 8.177511e+03 
2.767338e+01, 8.476088e+01, 3.255372e+01, -1.486325e+03 
4.022801e+01, 9.471049e+01, 3.334130e+01, -2.121721e+03 
4.118322e+01, 4.971635e+01, 3.462731e+01, -4.022611e+03 
4.352176e+01, 2.003792e+01, 3.427238e+01, -3.874915e+03 
7.150333e+01, 6.366542e+01, 3.425945e+01, -3.305745e+03 
7.386657e+01, 1.980451e+01, 3.364697e+01, 4.965022e+03 
2.971029e+01, 2.565529e+01, 3.582175e+01, 5.851358e+03 
3.706305e+01, 6.145967e+01, 3.413121e+01, 5.787910e+03 
4.082265e+01, 3.800615e+01, 3.386201e+01, 7.478216e+03 
4.031440e+01, 3.204961e+01, 3.387389e+01, 8.977552e+02 
5.041584e+01, 4.557208e+01, 3.446480e+01, 7.260527e+03 
5.362765e+01, 5.595182e+01, 3.453902e+01, 5.638725e+03 
5.517295e+01, 8.707863e+01, 3.442423e+01, 7.933548e+03 
7.261707e+01, 7.230060e+01, 3.428981e+01, 9.374124e+03 
9.630032e+01, 8.201921e+00, 3.488040e+01, -2.568204e+02 
1.482913e+01, 2.592092e+00, 3.670839e+01, 3.332192e+03 
1.909278e+01, 1.267592e+01, 3.618494e+01, 3.292937e+02 
2.006220e+01, 5.902637e+01, 3.544248e+01, 6.555496e+03 
2.464734e+01, 5.059581e+01, 3.598003e+01, 5.132325e+03 
4.131529e+01, 5.727413e+01, 3.530959e+01, 4.806821e+03 
4.952364e+01, 2.014547e+01, 3.547558e+01, 3.899458e+03 
5.274749e+01, 3.303797e+01, 3.418388e+01, 5.320699e+03 
6.716607e+01, 1.560230e+01, 3.547091e+01, -4.488088e+03 
8.747579e+01, 9.038267e+01, 3.459981e+01, 6.743060e+03 
9.573907e+01, 9.151584e+01, 3.444790e+01, -1.254127e+02 
2.416009e+00, 3.221413e+01, 3.786939e+01, -1.860436e+03 
2.348167e+01, 7.845826e+01, 3.648247e+01, -1.109758e+03 
2.992608e+01, 3.772784e+01, 3.681420e+01, -5.753860e+02 
3.115494e+01, 4.700505e+01, 3.689770e+01, 4.352223e+03 
