#x[px], y[px], z[px], A
1.810187e+02, 3.725399e+02, 2.687782e+00, 5.019835e+03 
1.910538e+02, 2.410188e+02, 4.010133e+00, 5.147293e+03 
2.272186e+02, 4.869760e+02, 3.670853e+00, 5.226888e+03 
2.376770e+02, 3.042754e+02, 3.913304e+00, 5.645754e+03 
2.427345e+02, 4.672796e+02, 2.875019e+00, 5.920633e+03 
2.465156e+02, 2.765510e+02, 3.165528e+00, 5.267473e+03 
2.545573e+02, 3.497307e+02, 3.118543e+00, 5.049190e+03 
3.238747e+02, 2.628819e+02, 3.493288e+00, 5.870750e+03 
3.304058e+02, 2.847325e+02, 2.960709e+00, 5.317061e+03 
4.056515e+02, 6.009080e+01, 3.147077e+00, 5.099130e+03 
4.641780e+02, 3.657876e+02, 3.210998e+00, 5.372991e+03 
5.798819e+02, 3.709651e+02, 3.024345e+00, 5.619984e+03 
1.953876e+02, 3.272379e+02, 3.514251e+00, 5.938986e+03 
2.662014e+02, 3.216981e+02, 4.218242e+00, 5.427248e+03 
2.869046e+02, 3.147066e+02, 4.004194e+00, 5.919426e+03 
3.205796e+02, 3.444534e+02, 4.536585e+00, 5.091892e+03 
3.342302e+02, 4.104145e+02, 4.171878e+00, 5.254180e+03 
3.385995e+02, 3.769514e+02, 3.943348e+00, 5.354129e+03 
4.218253e+02, 3.893936e+02, 4.221701e+00, 5.126551e+03 
4.287224e+02, 3.512376e+02, 4.569144e+00, 5.031983e+03 
4.597066e+02, 3.713046e+02, 3.538104e+00, 7.289031e+03 
5.638511e+02, 4.484231e+02, 3.506084e+00, 5.692520e+03 
8.782699e+01, 3.312933e+02, 5.051555e+00, 5.002644e+03 
2.243942e+02, 3.479844e+02, 4.439231e+00, 5.166873e+03 
2.394685e+02, 1.877721e+02, 5.287651e+00, 5.899287e+03 
2.515035e+02, 1.574073e+02, 5.157468e+00, 5.613094e+03 
2.970673e+02, 3.470130e+02, 4.363461e+00, 5.311282e+03 
3.379658e+02, 3.155970e+02, 4.925349e+00, 5.268475e+03 
4.290859e+02, 4.334677e+02, 4.567398e+00, 6.730654e+03 
4.764629e+02, 2.319755e+02, 5.123908e+00, 5.593127e+03 
2.983942e+02, 2.319986e+02, 5.876458e+00, 5.160842e+03 
3.614039e+02, 5.116964e+02, 6.306276e+00, 5.513558e+03 
4.972072e+02, 2.634074e+02, 4.248724e+00, 5.825813e+03 
2.717847e+02, 1.753918e+02, 6.974124e+00, 6.492431e+03 
2.782095e+02, 1.943875e+02, 7.293965e+00, 5.021372e+03 
3.063162e+02, 5.014121e+01, 7.123297e+00, 5.155769e+03 
3.491496e+02, 3.668322e+02, 6.675347e+00, 9.479289e+03 
2.792770e+02, 4.226383e+02, 7.678004e+00, 5.169712e+03 
4.244626e+02, 2.490359e+02, 5.933795e+00, 6.224950e+03 
5.852432e+02, 2.356675e+02, 8.194857e+00, 5.121676e+03 
4.496768e+01, 1.574252e+02, 1.011418e+01, 5.002800e+03 
4.717422e+01, 4.071297e+02, 8.435323e+00, 6.341192e+03 
4.708811e+01, 5.432393e+02, 8.967041e+00, 5.770186e+03 
1.202548e+02, 5.618348e+02, 9.879455e+00, 5.660649e+03 
5.002046e+02, 1.023933e+02, 8.833913e+00, 5.060560e+03 
5.332775e+02, 4.789906e+02, 9.198886e+00, 6.231959e+03 
8.300189e+01, 5.432629e+02, 1.078805e+01, 5.137218e+03 
1.526983e+02, 6.342559e+02, 1.104195e+01, 5.065798e+03 
1.753899e+02, 2.499406e+02, 1.047862e+01, 6.523811e+03 
1.807943e+02, 1.200328e+02, 1.018710e+01, 5.550344e+03 
2.734748e+02, 6.404182e+02, 1.054257e+01, 5.121594e+03 
5.732040e+02, 5.393733e+02, 8.980480e+00, 5.356210e+03 
